=== DUPLICATE STUBS (appear in 2+ files) ===
6x  [lurek.filled and outlined]  in: render_00.lua, render_00.lua, render_00.lua, render_00.lua, render_00.lua, render_00.lua
3x  [lurek.draw]  in: render_02.lua, scene_00.lua, ui_00.lua
3x  [LReplSession:eval]  in: repl_00.lua, repl_00.lua, repl_00.lua
3x  [lurek.add]  in: raycaster_01.lua, render_02.lua, scene_01.lua
3x  [lurek.render.setLineWidth]  in: render_00.lua, render_04.lua, render_06.lua
2x  [LTween:typeOf]  in: math_08.lua, tween_02.lua
2x  [LRandomGenerator:getState]  in: math_05.lua, math_06.lua
2x  [LTransform:inverseTransformPoint]  in: math_04.lua, math_07.lua
2x  [lurek.render.setBackgroundColor]  in: render_01.lua, render_06.lua
2x  [LImageData:getHeight]  in: image_00.lua, render_07.lua
2x  [LBezierCurve:evaluate]  in: math_02.lua, math_07.lua
2x  [LImageData:diff]  in: image_01.lua, render_07.lua
2x  [LDoorManager:type]  in: raycaster_01.lua, raycaster_02.lua
2x  [LSpatialHash:update]  in: math_05.lua, math_07.lua
2x  [lurek.scene.depth]  in: scene_00.lua, scene_02.lua
2x  [LNoiseGenerator:getSeed]  in: math_03.lua, math_06.lua
2x  [LChannel:supply]  in: thread_00.lua, thread_01.lua
2x  [lurek.ui.newTabBar]  in: ui_03.lua, ui_09.lua
2x  [LTransform:shear]  in: math_04.lua, math_07.lua
2x  [LSpriteSheet:drawToImage]  in: sprite_00.lua, sprite_01.lua
2x  [LChannel:push]  in: thread_00.lua, thread_01.lua
2x  [lurek.window.getSafeArea]  in: window_01.lua, window_02.lua
2x  [lurek.spine.animationFromJson]  in: spine_00.lua, spine_01.lua
2x  [LSpriteAtlas:getFlipped]  in: sprite_00.lua, sprite_01.lua
2x  [lurek.thread.newBoundedChannel]  in: thread_00.lua, thread_01.lua
2x  [LAccordion:setExclusive]  in: ui_03.lua, ui_08.lua
2x  [LImageData:mapPixels]  in: image_01.lua, render_07.lua
2x  [LSpinBox:increment]  in: ui_02.lua, ui_10.lua
2x  [LSpriteSheet:getColumn]  in: sprite_00.lua, sprite_01.lua
2x  [LBezierCurve:length]  in: math_02.lua, math_07.lua
2x  [LMesh:type]  in: render_03.lua, render_05.lua
2x  [lurek.scene.define]  in: scene_00.lua, scene_02.lua
2x  [LSpriteSheet:nameGroup]  in: sprite_00.lua, sprite_01.lua
2x  [LModManager:getModsByCapability]  in: mods_01.lua, mods_02.lua
2x  [LTransform:decompose]  in: math_04.lua, math_07.lua
2x  [lurek.scene.setData]  in: scene_00.lua, scene_02.lua
2x  [LScheduler:every]  in: timer_00.lua, timer_01.lua
2x  [LImage:typeOf]  in: render_02.lua, render_05.lua
