"Path","B1","B2","B3","B4"
"content\games\action\bullet_hell\main.lua","False","False","False","True"
"content\games\action\cannon_fodder\main.lua","False","False","False","True"
"content\games\action\endless_runner\main.lua","False","False","False","True"
"content\games\action\horde_survivor\main.lua","False","False","False","True"
"content\games\action\roguelite\main.lua","False","False","False","True"
"content\games\arcade\centipede\main.lua","False","False","False","True"
"content\games\arcade\frogger\main.lua","False","False","False","True"
"content\games\arcade\galaga\main.lua","False","False","False","True"
"content\games\arcade\pong\main.lua","False","False","False","True"
"content\games\arcade\snake\main.lua","False","False","False","True"
"content\games\arcade\space_invaders\main.lua","False","False","False","True"
"content\games\retro\another_world\main.lua","False","False","False","True"
"content\games\retro\commando\main.lua","False","False","False","True"
"content\games\retro\dungeon_crawler\main.lua","False","False","False","True"
"content\games\retro\giana_sisters\main.lua","False","False","False","True"
"content\games\retro\lemmings\main.lua","False","False","False","True"
"content\games\retro\sensible_soccer\main.lua","False","False","False","True"
"content\games\retro\shadow_beast\main.lua","False","False","False","True"
"content\games\rpg\courtroom\main.lua","False","False","False","True"
"content\games\rpg\dialog_demo\main.lua","False","False","False","True"
"content\games\rpg\dungeon_eye\main.lua","False","False","False","True"
"content\games\rpg\loot_rpg\main.lua","False","False","False","True"
"content\games\rpg\loot_rpg_demo\main.lua","False","False","False","True"
"content\games\rpg\social_deduction\main.lua","False","False","False","True"
"content\games\rpg\star_voyage\main.lua","False","False","False","True"
"content\games\rpg\visual_novel\main.lua","False","False","False","True"
"content\games\showcase\docs_demo\main.lua","False","False","False","True"
"content\games\showcase\hacking_game\main.lua","False","False","False","True"
"content\games\showcase\html-dialog\main.lua","False","False","False","True"
"content\games\showcase\html-hud\main.lua","False","False","False","True"
"content\games\showcase\html-inventory\main.lua","False","False","False","True"
"content\games\showcase\html-load-document\main.lua","False","False","False","True"
"content\games\showcase\html-scoreboard\main.lua","False","False","False","True"
"content\games\showcase\html-settings\main.lua","False","False","False","True"
"content\games\showcase\terminal_demo\main.lua","False","False","False","True"
"content\games\simulation\physics_demo\main.lua","False","False","False","True"
"content\games\simulation\physics_sandbox\main.lua","False","False","False","True"
"content\games\simulation\settlers_rise\main.lua","False","False","False","True"
"content\games\sports\fishing\main.lua","False","False","False","True"
"content\games\sports\rhythm_game\main.lua","False","False","False","True"
"content\games\sports\sensible_soccer\main.lua","False","False","False","True"
"content\games\sports\track_and_field\main.lua","False","False","False","True"
"content\games\strategy\eu2\main.lua","False","False","False","True"
"content\games\strategy\worms_artillery\main.lua","False","False","False","True"
